[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.070489, xSensAcc2: -0.114960, xSensYaw: -3.128650, rateOfTurn: 0.013842, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.077591, xSensAcc2: -0.125577, xSensYaw: -3.128650, rateOfTurn: 0.013818, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.082178, xSensAcc2: -0.127091, xSensYaw: -3.128650, rateOfTurn: 0.014028, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.059523, xSensAcc2: -0.124809, xSensYaw: -3.128650, rateOfTurn: 0.013981, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.074191, xSensAcc2: -0.124786, xSensYaw: -3.128673, rateOfTurn: 0.013749, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.070001, xSensAcc2: -0.129559, xSensYaw: -3.128673, rateOfTurn: 0.014331, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.066415, xSensAcc2: -0.139966, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.051560, xSensAcc2: -0.118546, xSensYaw: -3.128673, rateOfTurn: 0.014633, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

