[11:31:17] Id:  1, MsgId:     0, xSensAcc1: 2.065895, xSensAcc2: 1.349568, xSensYaw: 0.389328, rateOfTurn: 2.460822, wheelSp1: %&7f, wheelSp2: 2.662756, wheelSp3: 5.209737, wheelSp4: 0.115752

[11:31:17] Id:  1, MsgId:     0, xSensAcc1: -3.907399, xSensAcc2: -1.191942, xSensYaw: 0.392890, rateOfTurn: 1.478719, wheelSp1: %&7f, wheelSp2: 1.910224, wheelSp3: 1.331361, wheelSp4: 1.273479

[11:31:17] Id:  1, MsgId:     0, xSensAcc1: 5.000539, xSensAcc2: -0.545161, xSensYaw: 0.380317, rateOfTurn: 0.519806, wheelSp1: %&7f, wheelSp2: -2.141798, wheelSp3: 0.578852, wheelSp4: -0.984070

[11:31:18] Id:  1, MsgId:     0, xSensAcc1: 1.569453, xSensAcc2: -1.722842, xSensYaw: 0.370492, rateOfTurn: 0.087486, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: -2.257561, wheelSp4: -4.630897

[11:31:18] Id:  1, MsgId:     0, xSensAcc1: -3.709586, xSensAcc2: -2.238422, xSensYaw: 0.346883, rateOfTurn: -0.555569, wheelSp1: %&7f, wheelSp2: -4.399347, wheelSp3: -2.778543, wheelSp4: -0.810425

[11:31:18] Id:  1, MsgId:     0, xSensAcc1: 3.905536, xSensAcc2: 0.108278, xSensYaw: 0.320806, rateOfTurn: -0.952499, wheelSp1: %&7f, wheelSp2: -3.936270, wheelSp3: -2.836424, wheelSp4: -4.804565

[11:31:18] Id:  1, MsgId:     0, xSensAcc1: 0.398036, xSensAcc2: -0.514172, xSensYaw: 0.306673, rateOfTurn: -1.089612, wheelSp1: %&7f, wheelSp2: -1.562934, wheelSp3: -4.920329, wheelSp4: -6.309582

[11:31:18] Id:  1, MsgId:     0, xSensAcc1: -0.930124, xSensAcc2: 0.275171, xSensYaw: 0.274729, rateOfTurn: -1.307216, wheelSp1: %&7f, wheelSp2: -6.193819, wheelSp3: -3.588956, wheelSp4: -2.894306

[11:31:18] Id:  1, MsgId:     0, xSensAcc1: 2.303475, xSensAcc2: -0.279339, xSensYaw: 0.242761, rateOfTurn: -1.455762, wheelSp1: %&7f, wheelSp2: -3.994152, wheelSp3: -4.746660, wheelSp4: -5.846506

[11:31:18] Id:  1, MsgId:     0, xSensAcc1: -2.575165, xSensAcc2: -0.371051, xSensYaw: 0.228605, rateOfTurn: -1.489709, wheelSp1: %&7f, wheelSp2: -3.299525, wheelSp3: -5.093997, wheelSp4: -5.962269

[11:31:18] Id:  1, MsgId:     0, xSensAcc1: 1.074688, xSensAcc2: 0.748353, xSensYaw: 0.200735, rateOfTurn: -1.466100, wheelSp1: %&7f, wheelSp2: -5.209760, wheelSp3: -3.473170, wheelSp4: -2.604874

