[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -2.071948, xSensAcc2: -0.174611, xSensYaw: 0.786001, rateOfTurn: 5.870068, wheelSp1: %&7f, wheelSp2: 8.798681, wheelSp3: 14.008407, wheelSp4: 11.403544

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.584882, xSensAcc2: 1.045165, xSensYaw: 0.808330, rateOfTurn: 3.860041, wheelSp1: %&7f, wheelSp2: 3.820460, wheelSp3: 8.104032, wheelSp4: 0.057870

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -2.047711, xSensAcc2: 0.591774, xSensYaw: 0.798551, rateOfTurn: 2.768228, wheelSp1: %&7f, wheelSp2: 0.926165, wheelSp3: 3.183715, wheelSp4: 0.752497

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: 2.169737, xSensAcc2: -0.846025, xSensYaw: 0.751356, rateOfTurn: 0.479969, wheelSp1: %&7f, wheelSp2: -3.936270, wheelSp3: -3.067975, wheelSp4: -3.936270

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.233843, xSensAcc2: -0.131119, xSensYaw: 0.687840, rateOfTurn: -1.384353, wheelSp1: %&7f, wheelSp2: -7.409428, wheelSp3: -7.351546, wheelSp4: -8.335605

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.233843, xSensAcc2: -0.131119, xSensYaw: 0.687840, rateOfTurn: -1.384353, wheelSp1: %&7f, wheelSp2: -7.409428, wheelSp3: -7.351546, wheelSp4: -8.335605

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.233843, xSensAcc2: -0.131119, xSensYaw: 0.687840, rateOfTurn: -1.384353, wheelSp1: %&7f, wheelSp2: -7.409428, wheelSp3: -7.351546, wheelSp4: -8.335605

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.233843, xSensAcc2: -0.131119, xSensYaw: 0.687840, rateOfTurn: -1.384353, wheelSp1: %&7f, wheelSp2: -7.409428, wheelSp3: -7.351546, wheelSp4: -8.335605

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.233843, xSensAcc2: -0.131119, xSensYaw: 0.687840, rateOfTurn: -1.384353, wheelSp1: %&7f, wheelSp2: -7.409428, wheelSp3: -7.351546, wheelSp4: -8.335605

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.233843, xSensAcc2: -0.131119, xSensYaw: 0.687840, rateOfTurn: -1.384353, wheelSp1: %&7f, wheelSp2: -7.409428, wheelSp3: -7.351546, wheelSp4: -8.335605

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.233843, xSensAcc2: -0.131119, xSensYaw: 0.687840, rateOfTurn: -1.384353, wheelSp1: %&7f, wheelSp2: -7.409428, wheelSp3: -7.351546, wheelSp4: -8.335605

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: -0.233843, xSensAcc2: -0.131119, xSensYaw: 0.687840, rateOfTurn: -1.384353, wheelSp1: %&7f, wheelSp2: -7.409428, wheelSp3: -7.351546, wheelSp4: -8.335605

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: 0.028883, xSensAcc2: -1.163024, xSensYaw: 0.204646, rateOfTurn: -4.000135, wheelSp1: %&7f, wheelSp2: -10.187959, wheelSp3: -10.998372, wheelSp4: -11.519331

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: 2.228131, xSensAcc2: 0.413519, xSensYaw: 0.132888, rateOfTurn: -3.825210, wheelSp1: %&7f, wheelSp2: -10.303722, wheelSp3: -9.898527, wheelSp4: -10.419509

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: 2.447690, xSensAcc2: -3.253215, xSensYaw: 0.035751, rateOfTurn: -3.484811, wheelSp1: %&7f, wheelSp2: -9.319664, wheelSp3: -9.609096, wheelSp4: -8.567155

[14:26:06] Id: 10, MsgId:     0, xSensAcc1: 0.730681, xSensAcc2: -0.607700, xSensYaw: -0.051328, rateOfTurn: -3.127044, wheelSp1: %&7f, wheelSp2: -8.104054, wheelSp3: -8.509274, wheelSp4: -8.625036

