[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.225857, xSensAcc2: -0.421738, xSensYaw: 0.096124, rateOfTurn: -0.469771, wheelSp1: %&7f, wheelSp2: -2.431229, wheelSp3: -1.852366, wheelSp4: -2.257561

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 1.150102, xSensAcc2: 0.232027, xSensYaw: 0.086485, rateOfTurn: -0.641996, wheelSp1: %&7f, wheelSp2: -2.373348, wheelSp3: -2.662779, wheelSp4: -2.373348

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.361318, xSensAcc2: 0.228139, xSensYaw: 0.053516, rateOfTurn: -0.825769, wheelSp1: %&7f, wheelSp2: -1.678697, wheelSp3: -2.720661, wheelSp4: -1.794484

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.411656, xSensAcc2: 0.240013, xSensYaw: 0.047486, rateOfTurn: -0.786071, wheelSp1: %&7f, wheelSp2: -1.968129, wheelSp3: -1.562934, wheelSp4: -1.620816

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.895758, xSensAcc2: -0.068068, xSensYaw: 0.037288, rateOfTurn: -0.668259, wheelSp1: %&7f, wheelSp2: -1.736602, wheelSp3: -1.157739, wheelSp4: -1.331384

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.265602, xSensAcc2: 0.256288, xSensYaw: 0.027416, rateOfTurn: -0.567560, wheelSp1: %&7f, wheelSp2: -1.505052, wheelSp3: -0.926189, wheelSp4: -0.984070

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 1.143909, xSensAcc2: 0.182621, xSensYaw: 0.023528, rateOfTurn: -0.520761, wheelSp1: %&7f, wheelSp2: -1.505052, wheelSp3: -1.505052, wheelSp4: -0.868307

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.686303, xSensAcc2: 0.142201, xSensYaw: 0.018498, rateOfTurn: -0.416755, wheelSp1: %&7f, wheelSp2: -1.157739, wheelSp3: -0.463112, wheelSp4: -0.578875

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.510144, xSensAcc2: 0.126043, xSensYaw: 0.016240, rateOfTurn: -0.278268, wheelSp1: %&7f, wheelSp2: -0.694639, wheelSp3: -0.347325, wheelSp4: -0.057893

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: -0.010745, xSensAcc2: -0.230421, xSensYaw: 0.016915, rateOfTurn: -0.202318, wheelSp1: %&7f, wheelSp2: -0.636757, wheelSp3: 0.115752, wheelSp4: 0.231538

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.202784, xSensAcc2: -0.015332, xSensYaw: 0.018359, rateOfTurn: -0.068278, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: 0.115752, wheelSp4: 0.231538

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.080571, xSensAcc2: 0.134308, xSensYaw: 0.018429, rateOfTurn: -0.021805, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.173657, wheelSp4: 0.173657

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.449840, xSensAcc2: 0.146253, xSensYaw: 0.017614, rateOfTurn: 0.000664, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: -0.000012, wheelSp4: 0.057870

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.603276, xSensAcc2: -0.003900, xSensYaw: 0.016473, rateOfTurn: -0.021060, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.231562, wheelSp4: -0.057893

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.448490, xSensAcc2: 0.019546, xSensYaw: 0.016007, rateOfTurn: -0.030280, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 0.173657, wheelSp4: -0.057893

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.588072, xSensAcc2: 0.015774, xSensYaw: 0.015378, rateOfTurn: -0.033819, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.494102, xSensAcc2: 0.020151, xSensYaw: 0.015262, rateOfTurn: -0.022457, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: 0.057870

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.355195, xSensAcc2: -0.050280, xSensYaw: 0.015285, rateOfTurn: -0.014517, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: 0.115752

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.490912, xSensAcc2: -0.002619, xSensYaw: 0.015565, rateOfTurn: 0.001502, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: 0.057870

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.508770, xSensAcc2: -0.018475, xSensYaw: 0.015611, rateOfTurn: 0.008976, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.545371, xSensAcc2: 0.006950, xSensYaw: 0.015565, rateOfTurn: 0.009441, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.515941, xSensAcc2: 0.006973, xSensYaw: 0.015541, rateOfTurn: 0.007392, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: 0.057870

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.511541, xSensAcc2: 0.027532, xSensYaw: 0.015611, rateOfTurn: 0.006857, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.512658, xSensAcc2: 0.025297, xSensYaw: 0.015588, rateOfTurn: 0.007136, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.509026, xSensAcc2: 0.004598, xSensYaw: 0.015541, rateOfTurn: 0.006508, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.503997, xSensAcc2: 0.019243, xSensYaw: 0.015541, rateOfTurn: 0.005786, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.521832, xSensAcc2: 0.011886, xSensYaw: 0.015495, rateOfTurn: 0.005111, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.519294, xSensAcc2: 0.000827, xSensYaw: 0.015448, rateOfTurn: 0.004971, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.115775, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.521250, xSensAcc2: -0.012980, xSensYaw: 0.015448, rateOfTurn: 0.005600, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.529049, xSensAcc2: 0.005553, xSensYaw: 0.015425, rateOfTurn: 0.005693, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.541669, xSensAcc2: 0.006275, xSensYaw: 0.015402, rateOfTurn: 0.005553, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523624, xSensAcc2: 0.023132, xSensYaw: 0.015402, rateOfTurn: 0.005600, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.497501, xSensAcc2: 0.006764, xSensYaw: 0.015378, rateOfTurn: 0.005832, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: 0.115752, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.509445, xSensAcc2: 0.004692, xSensYaw: 0.015378, rateOfTurn: 0.005832, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.115775, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523299, xSensAcc2: 0.005111, xSensYaw: 0.015355, rateOfTurn: 0.005576, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.520458, xSensAcc2: 0.013818, xSensYaw: 0.015355, rateOfTurn: 0.006112, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.606116, xSensAcc2: 0.040082, xSensYaw: 0.015355, rateOfTurn: 0.005600, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: 0.057870

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.478455, xSensAcc2: -0.034936, xSensYaw: 0.014983, rateOfTurn: 0.001106, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.560482, xSensAcc2: 0.035798, xSensYaw: 0.014796, rateOfTurn: -0.001292, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.516546, xSensAcc2: 0.024110, xSensYaw: 0.014633, rateOfTurn: -0.004948, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.057893

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.526302, xSensAcc2: 0.011956, xSensYaw: 0.014564, rateOfTurn: -0.002829, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523694, xSensAcc2: 0.001013, xSensYaw: 0.014494, rateOfTurn: -0.001851, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.503578, xSensAcc2: 0.026252, xSensYaw: 0.014377, rateOfTurn: -0.001385, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.506348, xSensAcc2: 0.013236, xSensYaw: 0.014121, rateOfTurn: -0.002969, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.513031, xSensAcc2: -0.008161, xSensYaw: 0.014005, rateOfTurn: -0.003597, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.504393, xSensAcc2: 0.017940, xSensYaw: 0.013772, rateOfTurn: -0.004319, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.507955, xSensAcc2: -0.000780, xSensYaw: 0.013679, rateOfTurn: -0.002806, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.532006, xSensAcc2: 0.010768, xSensYaw: 0.013586, rateOfTurn: -0.002247, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523461, xSensAcc2: 0.019080, xSensYaw: 0.013353, rateOfTurn: -0.002293, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523461, xSensAcc2: 0.019080, xSensYaw: 0.013353, rateOfTurn: -0.002293, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523461, xSensAcc2: 0.019080, xSensYaw: 0.013353, rateOfTurn: -0.002293, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523461, xSensAcc2: 0.019080, xSensYaw: 0.013353, rateOfTurn: -0.002293, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523461, xSensAcc2: 0.019080, xSensYaw: 0.013353, rateOfTurn: -0.002293, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523461, xSensAcc2: 0.019080, xSensYaw: 0.013353, rateOfTurn: -0.002293, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.523461, xSensAcc2: 0.019080, xSensYaw: 0.013353, rateOfTurn: -0.002293, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.534009, xSensAcc2: 0.003923, xSensYaw: 0.010978, rateOfTurn: -0.013213, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.507187, xSensAcc2: -0.001735, xSensYaw: 0.010559, rateOfTurn: -0.014796, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.504067, xSensAcc2: 0.016100, xSensYaw: 0.010396, rateOfTurn: -0.014936, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.503205, xSensAcc2: 0.000268, xSensYaw: 0.010140, rateOfTurn: -0.011490, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.478921, xSensAcc2: -0.001711, xSensYaw: 0.009953, rateOfTurn: -0.007811, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.470469, xSensAcc2: -0.014354, xSensYaw: 0.009884, rateOfTurn: -0.005483, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.474195, xSensAcc2: 0.002643, xSensYaw: 0.009814, rateOfTurn: -0.001828, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.506209, xSensAcc2: -0.015029, xSensYaw: 0.009767, rateOfTurn: 0.001292, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.505301, xSensAcc2: 0.007160, xSensYaw: 0.009721, rateOfTurn: 0.001967, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.528793, xSensAcc2: 0.001828, xSensYaw: 0.009674, rateOfTurn: 0.002945, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.496430, xSensAcc2: -0.005460, xSensYaw: 0.009558, rateOfTurn: 0.002875, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.498083, xSensAcc2: -0.001828, xSensYaw: 0.009581, rateOfTurn: 0.003388, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

