[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 4.818721, xSensAcc2: 1.699466, xSensYaw: 0.925700, rateOfTurn: 5.741080, wheelSp1: %&7f, wheelSp2: 10.477367, wheelSp3: 12.792798, wheelSp4: 6.483227

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: -0.219292, xSensAcc2: 1.049519, xSensYaw: 0.941486, rateOfTurn: 3.643881, wheelSp1: %&7f, wheelSp2: 0.578852, wheelSp3: 6.483227, wheelSp4: -1.041952

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 1.832575, xSensAcc2: -0.536244, xSensYaw: 0.932452, rateOfTurn: 2.574955, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: 3.531028, wheelSp4: -1.215620

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: -0.152003, xSensAcc2: -0.040082, xSensYaw: 0.884582, rateOfTurn: 0.332773, wheelSp1: %&7f, wheelSp2: -3.415288, wheelSp3: -2.894306, wheelSp4: -5.499192

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: -0.099873, xSensAcc2: 0.254682, xSensYaw: 0.818761, rateOfTurn: -1.487706, wheelSp1: %&7f, wheelSp2: -7.351546, wheelSp3: -5.730742, wheelSp4: -8.914469

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 0.207953, xSensAcc2: 0.856549, xSensYaw: 0.696897, rateOfTurn: -3.182457, wheelSp1: %&7f, wheelSp2: -8.682919, wheelSp3: -8.451368, wheelSp4: -13.024371

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 1.753459, xSensAcc2: 1.371943, xSensYaw: 0.610168, rateOfTurn: -3.812171, wheelSp1: %&7f, wheelSp2: -10.535273, wheelSp3: -9.319664, wheelSp4: -12.677058

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 1.305796, xSensAcc2: -2.571370, xSensYaw: 0.566256, rateOfTurn: -3.987562, wheelSp1: %&7f, wheelSp2: -10.708941, wheelSp3: -9.782763, wheelSp4: -13.487472

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: -1.479092, xSensAcc2: -3.142178, xSensYaw: 0.479224, rateOfTurn: -4.202558, wheelSp1: %&7f, wheelSp2: -9.840646, wheelSp3: -10.072195, wheelSp4: -13.082253

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 2.995028, xSensAcc2: 1.985126, xSensYaw: 0.393728, rateOfTurn: -4.260253, wheelSp1: %&7f, wheelSp2: -10.651059, wheelSp3: -9.435451, wheelSp4: -12.213982

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: -1.570501, xSensAcc2: -3.330188, xSensYaw: 0.353937, rateOfTurn: -4.234572, wheelSp1: %&7f, wheelSp2: -10.535273, wheelSp3: -9.840646, wheelSp4: -13.024371

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 2.307619, xSensAcc2: 0.393449, xSensYaw: 0.276754, rateOfTurn: -4.093267, wheelSp1: %&7f, wheelSp2: -9.551213, wheelSp3: -9.551213, wheelSp4: -12.213982

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 2.649578, xSensAcc2: 0.730099, xSensYaw: 0.201713, rateOfTurn: -3.912288, wheelSp1: %&7f, wheelSp2: -9.319664, wheelSp3: -9.493332, wheelSp4: -11.519331

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 0.620994, xSensAcc2: -0.214682, xSensYaw: 0.100152, rateOfTurn: -3.629376, wheelSp1: %&7f, wheelSp2: -8.972350, wheelSp3: -9.203900, wheelSp4: -11.172017

[11:42:46] Id:  1, MsgId:     0, xSensAcc1: 0.778458, xSensAcc2: -3.310514, xSensYaw: 0.038405, rateOfTurn: -3.375148, wheelSp1: %&7f, wheelSp2: -8.798705, wheelSp3: -9.203900, wheelSp4: -8.509274

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.201433, xSensAcc2: 1.019088, xSensYaw: -0.040431, rateOfTurn: -2.225384, wheelSp1: %&7f, wheelSp2: -3.531051, wheelSp3: -3.646838, wheelSp4: -6.251701

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.521087, xSensAcc2: -0.320596, xSensYaw: -0.073237, rateOfTurn: -1.569244, wheelSp1: %&7f, wheelSp2: -0.868307, wheelSp3: -1.968129, wheelSp4: -3.820483

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: 0.019802, xSensAcc2: 0.336894, xSensYaw: -0.079407, rateOfTurn: -1.325726, wheelSp1: %&7f, wheelSp2: -0.347325, wheelSp3: -1.794484, wheelSp4: -2.431229

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: 1.651014, xSensAcc2: -0.561902, xSensYaw: -0.079989, rateOfTurn: -0.774639, wheelSp1: %&7f, wheelSp2: 1.157715, wheelSp3: 0.057870, wheelSp4: -2.026034

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.352727, xSensAcc2: 0.434148, xSensYaw: -0.071304, rateOfTurn: -0.227860, wheelSp1: %&7f, wheelSp2: 1.736579, wheelSp3: 1.331361, wheelSp4: 0.926165

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: 0.520202, xSensAcc2: -0.742252, xSensYaw: -0.065926, rateOfTurn: 0.011839, wheelSp1: %&7f, wheelSp2: 2.083892, wheelSp3: 1.215597, wheelSp4: 0.578852

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.406301, xSensAcc2: 0.175077, xSensYaw: -0.052212, rateOfTurn: 0.366394, wheelSp1: %&7f, wheelSp2: 2.662756, wheelSp3: 2.257538, wheelSp4: -0.115775

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.208186, xSensAcc2: 0.504160, xSensYaw: -0.037986, rateOfTurn: 0.564067, wheelSp1: %&7f, wheelSp2: 2.662756, wheelSp3: 2.257538, wheelSp4: 1.678674

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.091118, xSensAcc2: -0.332121, xSensYaw: -0.023341, rateOfTurn: 0.668212, wheelSp1: %&7f, wheelSp2: 3.125833, wheelSp3: 2.373324, wheelSp4: 1.157715

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.410143, xSensAcc2: 0.094075, xSensYaw: -0.016263, rateOfTurn: 0.692729, wheelSp1: %&7f, wheelSp2: 2.836401, wheelSp3: 2.662756, wheelSp4: 0.636734

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.410143, xSensAcc2: 0.094075, xSensYaw: -0.016263, rateOfTurn: 0.692729, wheelSp1: %&7f, wheelSp2: 2.836401, wheelSp3: 2.662756, wheelSp4: 0.636734

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.410143, xSensAcc2: 0.094075, xSensYaw: -0.016263, rateOfTurn: 0.692729, wheelSp1: %&7f, wheelSp2: 2.836401, wheelSp3: 2.662756, wheelSp4: 0.636734

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.410143, xSensAcc2: 0.094075, xSensYaw: -0.016263, rateOfTurn: 0.692729, wheelSp1: %&7f, wheelSp2: 2.836401, wheelSp3: 2.662756, wheelSp4: 0.636734

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.410143, xSensAcc2: 0.094075, xSensYaw: -0.016263, rateOfTurn: 0.692729, wheelSp1: %&7f, wheelSp2: 2.836401, wheelSp3: 2.662756, wheelSp4: 0.636734

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.410143, xSensAcc2: 0.094075, xSensYaw: -0.016263, rateOfTurn: 0.692729, wheelSp1: %&7f, wheelSp2: 2.836401, wheelSp3: 2.662756, wheelSp4: 0.636734

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.410143, xSensAcc2: 0.094075, xSensYaw: -0.016263, rateOfTurn: 0.692729, wheelSp1: %&7f, wheelSp2: 2.836401, wheelSp3: 2.662756, wheelSp4: 0.636734

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: 0.027113, xSensAcc2: 0.366580, xSensYaw: 0.068604, rateOfTurn: 0.570656, wheelSp1: %&7f, wheelSp2: 1.968106, wheelSp3: 1.852342, wheelSp4: 1.157715

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.437757, xSensAcc2: 0.214309, xSensYaw: 0.073912, rateOfTurn: 0.559411, wheelSp1: %&7f, wheelSp2: 2.026011, wheelSp3: 1.736579, wheelSp4: 1.157715

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: 0.569515, xSensAcc2: 0.379828, xSensYaw: 0.082178, rateOfTurn: 0.506488, wheelSp1: %&7f, wheelSp2: 1.620792, wheelSp3: 1.678674, wheelSp4: 0.463088

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: 0.008394, xSensAcc2: 0.018894, xSensYaw: 0.091072, rateOfTurn: 0.389887, wheelSp1: %&7f, wheelSp2: 1.736579, wheelSp3: 1.331361, wheelSp4: 0.347302

[11:42:47] Id:  1, MsgId:     0, xSensAcc1: -0.210886, xSensAcc2: -0.708702, xSensYaw: 0.092795, rateOfTurn: 0.278221, wheelSp1: %&7f, wheelSp2: 0.926165, wheelSp3: 0.694615, wheelSp4: -0.289443

