[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -1.426984, xSensAcc2: -5.567225, xSensYaw: -0.578363, rateOfTurn: 15.296636, wheelSp1: %&7f, wheelSp2: 41.735836, wheelSp3: 41.735836, wheelSp4: 44.456486

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.512425, xSensAcc2: -0.763463, xSensYaw: -0.293169, rateOfTurn: 14.918077, wheelSp1: %&7f, wheelSp2: 40.288700, wheelSp3: 40.057152, wheelSp4: 40.230797

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -1.555227, xSensAcc2: -2.105592, xSensYaw: -0.158313, rateOfTurn: 14.609575, wheelSp1: %&7f, wheelSp2: 38.378441, wheelSp3: 38.609993, wheelSp4: 38.552109

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.531960, xSensAcc2: -1.956278, xSensYaw: 0.091281, rateOfTurn: 13.772084, wheelSp1: %&7f, wheelSp2: 32.821381, wheelSp3: 36.583992, wheelSp4: 35.252598

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.320899, xSensAcc2: -0.395218, xSensYaw: 0.303041, rateOfTurn: 12.503134, wheelSp1: %&7f, wheelSp2: 32.300419, wheelSp3: 32.821381, wheelSp4: 26.974886

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -2.462591, xSensAcc2: -3.718643, xSensYaw: 0.661926, rateOfTurn: 6.470259, wheelSp1: %&7f, wheelSp2: 13.776880, wheelSp3: 16.786938, wheelSp4: 12.908585

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.266160, xSensAcc2: -0.296219, xSensYaw: 0.710005, rateOfTurn: 4.509336, wheelSp1: %&7f, wheelSp2: 5.093974, wheelSp3: 11.229876, wheelSp4: 6.309559

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.151491, xSensAcc2: 0.764697, xSensYaw: 0.678876, rateOfTurn: 1.419696, wheelSp1: %&7f, wheelSp2: -0.347325, wheelSp3: 5.846482, wheelSp4: -1.505052

