1646054173.0863965 1.3115233573553269 3.1365197919294587 -0.8922652514738729  5.08161027252936 14.934584019094473 14.413625453802524 14.58727054787596 14.876702321067569 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.1068468 3.461365106035373 -6.892357505952532 -0.796408875452471  5.010317529427994 14.182075378630543 14.992489000185742 14.992489000185742 14.471507151822152 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.1192138 2.550811024622817 -8.927390464217751 -0.6990623833189602  4.9668713313149055 14.529388849849056 14.066311982576735 14.008407001492742 14.818820623047941 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.139379 -2.1907151853010873 5.6608463479497 -0.648025906222756  4.964263628105982 14.35574375577562 14.471507151822152 14.703057226994133 14.760938925021037 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.1557906 -2.032367064515711 -2.723664528748486 -0.5518202842431492  5.021889212417591 14.58727054787596 14.876702321067569 14.413625453802524 13.66109353027423 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.1726758 -2.8069480500053032 -9.82157655138144 -0.4543573767878115  4.961236829738482 14.58727054787596 14.760938925021037 14.760938925021037 15.281920773377351 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.18457 0.7233465852186782 9.432074133277638 -0.40408924080838915  4.905543739761924 14.239957076657447 14.760938925021037 14.876702321067569 14.703057226994133 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.2008743 -2.67497964114591 1.789967047108803 -0.305997690615186  5.03499757766258 14.645152245902864 14.645152245902864 14.58727054787596 14.413625453802524 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.2212129 4.307681212849275 2.353556903268327 -0.256474612695456  4.829943629745685 14.239957076657447 14.703057226994133 14.760938925021037 15.050370698212646 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.2375977 3.2734009273699485 8.267874348610349 -0.1558452084864257  4.87767391170928 14.876702321067569 15.166134094266454 14.58727054787596 14.992489000185742 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
