[14:24:50.942] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.444229, xSensAcc2: 0.958273, xSensYaw: -1.172128, rateOfTurn: -10.525098, wheelSp1: %&7f, wheelSp2: -30.448090, wheelSp3: -29.811344, wheelSp4: -31.258480

[14:24:50.959] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.148589, xSensAcc2: -1.268031, xSensYaw: -1.383980, rateOfTurn: -10.545074, wheelSp1: %&7f, wheelSp2: -31.084835, wheelSp3: -30.390207, wheelSp4: -30.563852

[14:24:50.975] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.823580, xSensAcc2: 0.858668, xSensYaw: -1.489662, rateOfTurn: -10.555482, wheelSp1: %&7f, wheelSp2: -30.853285, wheelSp3: -30.100777, wheelSp4: -31.432148

[14:24:51.007] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 3.063737, xSensAcc2: -0.628515, xSensYaw: -1.914229, rateOfTurn: -10.583585, wheelSp1: %&7f, wheelSp2: -31.084835, wheelSp3: -30.274422, wheelSp4: -30.969048

[14:24:51.024] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.311213, xSensAcc2: -1.240021, xSensYaw: -2.020819, rateOfTurn: -10.591757, wheelSp1: %&7f, wheelSp2: -31.026953, wheelSp3: -30.737522, wheelSp4: -31.084835

[14:24:51.040] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.580769, xSensAcc2: -1.240766, xSensYaw: -2.234208, rateOfTurn: -10.619929, wheelSp1: %&7f, wheelSp2: -31.432148, wheelSp3: -30.448090, wheelSp4: -31.316385

[14:24:51.057] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -3.475475, xSensAcc2: -3.029045, xSensYaw: -2.448319, rateOfTurn: -10.643166, wheelSp1: %&7f, wheelSp2: -31.547913, wheelSp3: -30.332304, wheelSp4: -32.184658

[14:24:51.073] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 5.773304, xSensAcc2: 3.084971, xSensYaw: -2.555328, rateOfTurn: -10.652037, wheelSp1: %&7f, wheelSp2: -31.490030, wheelSp3: -30.390207, wheelSp4: -31.605793

[14:24:51.089] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.824698, xSensAcc2: -3.782671, xSensYaw: -2.661708, rateOfTurn: -10.653946, wheelSp1: %&7f, wheelSp2: -31.779463, wheelSp3: -31.432148, wheelSp4: -31.432148

[14:24:51.105] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.931660, xSensAcc2: -0.771077, xSensYaw: -2.874678, rateOfTurn: -10.646565, wheelSp1: %&7f, wheelSp2: -31.837343, wheelSp3: -30.448090, wheelSp4: -30.737522

[14:24:51.122] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 2.033391, xSensAcc2: 0.535429, xSensYaw: -2.981874, rateOfTurn: -10.642747, wheelSp1: %&7f, wheelSp2: -31.953131, wheelSp3: -30.969048, wheelSp4: -31.142717

[14:24:51.138] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -3.375544, xSensAcc2: -0.507024, xSensYaw: 3.087672, rateOfTurn: -10.657485, wheelSp1: %&7f, wheelSp2: -31.374268, wheelSp3: -30.969048, wheelSp4: -32.300446

[14:24:51.154] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.326533, xSensAcc2: -0.579085, xSensYaw: 2.873863, rateOfTurn: -10.671501, wheelSp1: %&7f, wheelSp2: -31.721581, wheelSp3: -31.142717, wheelSp4: -30.969048

[14:24:51.171] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.397182, xSensAcc2: 0.659202, xSensYaw: 2.766179, rateOfTurn: -10.688382, wheelSp1: %&7f, wheelSp2: -31.663698, wheelSp3: -31.374268, wheelSp4: -31.432148

[14:24:51.187] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.684658, xSensAcc2: -2.780010, xSensYaw: 2.552185, rateOfTurn: -10.695832, wheelSp1: %&7f, wheelSp2: -32.011013, wheelSp3: -31.547913, wheelSp4: -31.663698

[14:24:51.203] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -3.976689, xSensAcc2: -1.773459, xSensYaw: 2.445083, rateOfTurn: -10.711223, wheelSp1: %&7f, wheelSp2: -31.432148, wheelSp3: -30.853285, wheelSp4: -31.837343

[14:24:51.220] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.943798, xSensAcc2: -1.782493, xSensYaw: 2.228667, rateOfTurn: -10.733388, wheelSp1: %&7f, wheelSp2: -31.953131, wheelSp3: -31.374268, wheelSp4: -31.837343

[14:24:51.236] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.487706, xSensAcc2: -0.487582, xSensYaw: 2.013205, rateOfTurn: -10.769081, wheelSp1: %&7f, wheelSp2: -32.068893, wheelSp3: -31.374268, wheelSp4: -31.432148

[14:24:51.252] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.190327, xSensAcc2: 0.197173, xSensYaw: 1.904473, rateOfTurn: -10.783609, wheelSp1: %&7f, wheelSp2: -32.242538, wheelSp3: -31.316385, wheelSp4: -31.316385

[14:24:51.269] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.608701, xSensAcc2: 2.242869, xSensYaw: 1.686823, rateOfTurn: -10.819674, wheelSp1: %&7f, wheelSp2: -32.416206, wheelSp3: -30.737522, wheelSp4: -31.895226

[14:24:51.285] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.995044, xSensAcc2: -2.224452, xSensYaw: 1.578813, rateOfTurn: -10.819466, wheelSp1: %&7f, wheelSp2: -32.647758, wheelSp3: -31.663698, wheelSp4: -31.663698

[14:24:51.301] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.995044, xSensAcc2: -2.224452, xSensYaw: 1.578813, rateOfTurn: -10.819466, wheelSp1: %&7f, wheelSp2: -32.647758, wheelSp3: -31.663698, wheelSp4: -31.663698

[14:24:51.317] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.995044, xSensAcc2: -2.224452, xSensYaw: 1.578813, rateOfTurn: -10.819466, wheelSp1: %&7f, wheelSp2: -32.647758, wheelSp3: -31.663698, wheelSp4: -31.663698

[14:24:51.350] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.995044, xSensAcc2: -2.224452, xSensYaw: 1.578813, rateOfTurn: -10.819466, wheelSp1: %&7f, wheelSp2: -32.647758, wheelSp3: -31.663698, wheelSp4: -31.663698

[14:24:51.366] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.995044, xSensAcc2: -2.224452, xSensYaw: 1.578813, rateOfTurn: -10.819466, wheelSp1: %&7f, wheelSp2: -32.647758, wheelSp3: -31.663698, wheelSp4: -31.663698

[14:24:51.383] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.995044, xSensAcc2: -2.224452, xSensYaw: 1.578813, rateOfTurn: -10.819466, wheelSp1: %&7f, wheelSp2: -32.647758, wheelSp3: -31.663698, wheelSp4: -31.663698

[14:24:51.415] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.547187, xSensAcc2: -0.307558, xSensYaw: 0.052399, rateOfTurn: -10.928127, wheelSp1: %&7f, wheelSp2: -32.184658, wheelSp3: -31.779463, wheelSp4: -32.011013

[14:24:51.432] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.414311, xSensAcc2: -0.228256, xSensYaw: -0.167859, rateOfTurn: -10.966219, wheelSp1: %&7f, wheelSp2: -32.474091, wheelSp3: -31.374268, wheelSp4: -32.126774

[14:24:51.448] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.330142, xSensAcc2: 0.662135, xSensYaw: -0.277895, rateOfTurn: -10.974787, wheelSp1: %&7f, wheelSp2: -32.705639, wheelSp3: -31.663698, wheelSp4: -32.068893

[14:24:51.465] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.471873, xSensAcc2: 5.658378, xSensYaw: -0.499364, rateOfTurn: -11.006684, wheelSp1: %&7f, wheelSp2: -32.821404, wheelSp3: -31.200598, wheelSp4: -32.068893

[14:24:51.481] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -5.068711, xSensAcc2: -4.979607, xSensYaw: -0.718224, rateOfTurn: -10.998838, wheelSp1: %&7f, wheelSp2: -32.184658, wheelSp3: -31.953131, wheelSp4: -32.358326

