[16:37:20.202, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = 1.80902, y = 0.00927749 }, angle: 1.01815, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.218, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = 2.83652, y = 0.00634775 }, angle: 1.00741, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.234, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = 2.91782, y = 0.0128176 }, angle: 0.996096, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.250, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = 2.91514, y = 0.00939956 }, angle: 0.991973, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.267, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -3.01226, y = 0.00549325 }, angle: 0.983536, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.283, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.76118, y = 0.010132 }, angle: 0.978072, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.299, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -2.32493, y = 0.00805676 }, angle: 0.9774, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.316, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.28516, y = 0.00695811 }, angle: 0.976633, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.332, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.497736, y = 0.0108644 }, angle: 0.976442, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.349, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.594475, y = 0.00866712 }, angle: 0.976442, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.365, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.6051, y = 0.00280766 }, angle: 0.976346, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.381, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = 1.90442, y = 0.00134279 }, angle: 0.976633, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.397, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = 1.07644, y = 0.000976577 }, angle: 0.976825, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.414, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -2.55896, y = 0.000732433 }, angle: 0.977017, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.430, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -2.58226, y = 0.000854505 }, angle: 0.976921, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.446, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = 0.62688, y = 0.000366217 }, angle: 0.976825, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.479, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -2.19233, y = 0.000244144 }, angle: -0.0185519, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.495, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -2.15552, y = 0 }, angle: -0.0185519, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.512, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -2.03644, y = 0 }, angle: -0.0182642, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.528, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.97805, y = 0 }, angle: -0.0181684, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.544, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.92551, y = 0 }, angle: -0.0181684, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.561, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.78179, y = 0 }, angle: -0.018456, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.577, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.79474, y = 0 }, angle: -0.0185519, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.593, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.89828, y = 0 }, angle: -0.0185519, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.626, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.90135, y = 0 }, angle: -0.0182642, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.642, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.93366, y = 0 }, angle: -0.0183601, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.659, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.89636, y = 0 }, angle: -0.018456, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.675, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.90653, y = 0 }, angle: -0.018456, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.691, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.85696, y = 0 }, angle: -0.018456, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.708, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.91228, y = 0 }, angle: -0.029194, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.724, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.91784, y = 0 }, angle: -0.029194, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.740, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9466, y = 0 }, angle: -0.029194, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.757, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9466, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.773, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9466, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.789, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9466, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.806, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9466, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.822, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9466, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.838, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9466, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.855, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9466, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.887, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.84661, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.903, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.87729, y = 0 }, angle: -0.0292899, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.920, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.91851, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.936, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.89799, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.952, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.93395, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.969, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.84891, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:20.985, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.8862, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.001, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.90356, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.018, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.89013, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.034, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.87153, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.050, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.86175, y = 0 }, angle: -0.0325497, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.067, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.92561, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.083, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.87422, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.099, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.84862, y = 0 }, angle: -0.0324538, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.116, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.9071, y = 0 }, angle: -0.0325497, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.132, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.89905, y = 0 }, angle: -0.0339878, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[16:37:21.148, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.91036, y = 0 }, angle: -0.0339878, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

