[15:35:12.302] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.109908, xSensAcc2: -0.339875, xSensYaw: -0.965211, rateOfTurn: -1.536112, wheelSp1: %&7f, wheelSp2: -3.588956, wheelSp3: -3.415288, wheelSp4: -4.167820

[15:35:12.318] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.756129, xSensAcc2: -0.136544, xSensYaw: -0.988471, rateOfTurn: -1.385820, wheelSp1: %&7f, wheelSp2: -3.125856, wheelSp3: -4.283583, wheelSp4: -3.531051

[15:35:12.334] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.154658, xSensAcc2: -0.347674, xSensYaw: -0.998925, rateOfTurn: -1.238601, wheelSp1: %&7f, wheelSp2: -3.415288, wheelSp3: -2.952211, wheelSp4: -3.357406

[15:35:12.350] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.591332, xSensAcc2: -0.584370, xSensYaw: -1.008727, rateOfTurn: -1.174060, wheelSp1: %&7f, wheelSp2: -3.010093, wheelSp3: -2.546993, wheelSp4: -2.720661

[15:35:12.367] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.478525, xSensAcc2: -0.667281, xSensYaw: -1.024443, rateOfTurn: -1.010660, wheelSp1: %&7f, wheelSp2: -2.373348, wheelSp3: -1.968129, wheelSp4: -2.083916

[15:35:12.384] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.167859, xSensAcc2: 0.256079, xSensYaw: -1.029985, rateOfTurn: -0.919879, wheelSp1: %&7f, wheelSp2: -1.910247, wheelSp3: -1.910247, wheelSp4: -1.852366

[15:35:12.399] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.169466, xSensAcc2: 0.059453, xSensYaw: -1.038832, rateOfTurn: -0.709051, wheelSp1: %&7f, wheelSp2: -0.984070, wheelSp3: -1.505052, wheelSp4: -1.447170

[15:35:12.415] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.181224, xSensAcc2: -0.224740, xSensYaw: -1.046609, rateOfTurn: -0.535336, wheelSp1: %&7f, wheelSp2: -1.273502, wheelSp3: -1.215620, wheelSp4: -1.389289

[15:35:12.448] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.051979, xSensAcc2: -0.820111, xSensYaw: -1.055293, rateOfTurn: -0.370957, wheelSp1: %&7f, wheelSp2: -0.752520, wheelSp3: -0.463112, wheelSp4: -0.520994

