[14:24:35.946] { id: 7, vel: { 0, 0}, pos: { -0.354391, 0.488046}, angle: 3.03395, w: 0 }
[14:24:36.376] { id: 7, vel: { 4.59531e-05, -3.06856e-05}, pos: { -0.354359, 0.488091}, angle: 3.03591, w: 0.000839128 }

[14:24:36.386] { id: 7, vel: { 4.59531e-05, -3.06856e-05}, pos: { -0.354359, 0.488091}, angle: 3.03591, w: 0.000839128 }

[14:24:36.396] { id: 7, vel: { 1.62659e-05, -4.68449e-06}, pos: { -0.354363, 0.488095}, angle: 3.03611, w: 0.00304433 }

[14:24:36.406] { id: 7, vel: { -8.92665e-05, -2.82897e-05}, pos: { -0.35438, 0.488091}, angle: 3.0363, w: 0.00473471 }

[14:24:36.416] { id: 7, vel: { -8.92665e-05, -2.82897e-05}, pos: { -0.35438, 0.488091}, angle: 3.0363, w: 0.00473471 }

[14:24:36.426] { id: 7, vel: { 1.24771e-05, -0.000101662}, pos: { -0.354365, 0.488079}, angle: 3.03614, w: 0.00184825 }

[14:24:36.436] { id: 7, vel: { 1.24771e-05, -0.000101662}, pos: { -0.354365, 0.488079}, angle: 3.03614, w: 0.00184825 }

[14:24:36.446] { id: 7, vel: { 1.36769e-05, -0.000211405}, pos: { -0.354364, 0.488059}, angle: 3.03666, w: 0.00781204 }

[14:24:36.456] { id: 7, vel: { 6.89136e-05, -0.000116352}, pos: { -0.354355, 0.488071}, angle: 3.03637, w: 0.00261952 }

[14:24:36.466] { id: 7, vel: { 6.89136e-05, -0.000116352}, pos: { -0.354355, 0.488071}, angle: 3.03637, w: 0.00261952 }

[14:24:36.476] { id: 7, vel: { 0.000138958, -0.000164728}, pos: { -0.354343, 0.488062}, angle: 3.03642, w: 0.00278351 }

[14:24:36.486] { id: 7, vel: { 0.000138958, -0.000164728}, pos: { -0.354343, 0.488062}, angle: 3.03642, w: 0.00278351 }

[14:24:36.496] { id: 7, vel: { 8.88502e-05, -0.000101385}, pos: { -0.354348, 0.488069}, angle: 3.03634, w: 0.00122991 }

[14:24:36.506] { id: 7, vel: { -6.84503e-05, -8.3336e-05}, pos: { -0.354372, 0.48807}, angle: 3.03637, w: 0.00128348 }

[14:24:36.516] { id: 7, vel: { -6.84503e-05, -8.3336e-05}, pos: { -0.354372, 0.48807}, angle: 3.03637, w: 0.00128348 }

[14:24:36.526] { id: 7, vel: { -4.78789e-05, -0.000104226}, pos: { -0.35437, 0.488065}, angle: 3.03598, w: -0.0036965 }

[14:24:36.536] { id: 7, vel: { -4.78789e-05, -0.000104226}, pos: { -0.35437, 0.488065}, angle: 3.03598, w: -0.0036965 }

[14:24:36.546] { id: 7, vel: { -3.00207e-05, -0.000111784}, pos: { -0.354368, 0.488063}, angle: 3.03551, w: -0.0085514 }

[14:24:36.556] { id: 7, vel: { -9.91868e-05, -0.000199479}, pos: { -0.35438, 0.488047}, angle: 3.03553, w: -0.00665202 }

[14:24:36.566] { id: 7, vel: { -9.91868e-05, -0.000199479}, pos: { -0.35438, 0.488047}, angle: 3.03553, w: -0.00665202 }

[14:24:36.576] { id: 7, vel: { -0.000110612, -0.000196776}, pos: { -0.354383, 0.488044}, angle: 3.03514, w: -0.0100008 }

[14:24:36.586] { id: 7, vel: { -0.000110612, -0.000196776}, pos: { -0.354383, 0.488044}, angle: 3.03514, w: -0.0100008 }

[14:24:36.596] { id: 7, vel: { -0.000220253, 0.000163415}, pos: { -0.354403, 0.488098}, angle: 3.03555, w: -0.00308298 }

[14:24:36.606] { id: 7, vel: { -0.00019351, 0.000177549}, pos: { -0.354402, 0.488103}, angle: 3.03597, w: 0.00272329 }

[14:24:36.616] { id: 7, vel: { -0.00019351, 0.000177549}, pos: { -0.354402, 0.488103}, angle: 3.03597, w: 0.00272329 }

[14:24:36.626] { id: 7, vel: { -9.90221e-05, 0.000135029}, pos: { -0.35439, 0.488099}, angle: 3.03563, w: -0.00197183 }

[14:24:36.636] { id: 7, vel: { -9.90221e-05, 0.000135029}, pos: { -0.35439, 0.488099}, angle: 3.03563, w: -0.00197183 }

[14:24:36.646] { id: 7, vel: { -9.83742e-05, 6.957e-05}, pos: { -0.354392, 0.488091}, angle: 3.03542, w: -0.00412154 }

[14:24:36.656] { id: 7, vel: { -1.7918e-05, 4.33401e-05}, pos: { -0.35438, 0.488088}, angle: 3.03535, w: -0.00411103 }

[14:24:36.666] { id: 7, vel: { -1.7918e-05, 4.33401e-05}, pos: { -0.35438, 0.488088}, angle: 3.03535, w: -0.00411103 }

[14:24:36.676] { id: 7, vel: { -1.52631e-05, 0.000134743}, pos: { -0.35438, 0.488104}, angle: 3.03535, w: -0.00328682 }

[14:24:36.686] { id: 7, vel: { -1.52631e-05, 0.000134743}, pos: { -0.35438, 0.488104}, angle: 3.03535, w: -0.00328682 }

[14:24:36.696] { id: 7, vel: { -2.77708e-05, 6.45525e-05}, pos: { -0.354382, 0.488095}, angle: 3.03551, w: -0.00071859 }

[14:24:36.706] { id: 7, vel: { -5.1294e-06, -6.66654e-05}, pos: { -0.354379, 0.488074}, angle: 3.03556, w: -1.3809e-05 }

[14:24:36.716] { id: 7, vel: { -5.1294e-06, -6.66654e-05}, pos: { -0.354379, 0.488074}, angle: 3.03556, w: -1.3809e-05 }

[14:24:36.726] { id: 7, vel: { 6.79342e-05, 8.19686e-06}, pos: { -0.354368, 0.488085}, angle: 3.03582, w: 0.00318631 }

[14:24:36.736] { id: 7, vel: { 6.79342e-05, 8.19686e-06}, pos: { -0.354368, 0.488085}, angle: 3.03582, w: 0.00318631 }

[14:24:36.746] { id: 7, vel: { 0.000116805, -2.12522e-06}, pos: { -0.354359, 0.488084}, angle: 3.03598, w: 0.00449904 }

[14:24:36.756] { id: 7, vel: { 0.000163406, 6.05039e-05}, pos: { -0.354349, 0.488094}, angle: 3.03625, w: 0.00684834 }

[14:24:36.766] { id: 7, vel: { 0.000163406, 6.05039e-05}, pos: { -0.354349, 0.488094}, angle: 3.03625, w: 0.00684834 }

[14:24:36.776] { id: 7, vel: { 0.000120307, 8.17947e-05}, pos: { -0.354353, 0.488098}, angle: 3.03612, w: 0.00393538 }

[14:24:36.786] { id: 7, vel: { 0.000120307, 8.17947e-05}, pos: { -0.354353, 0.488098}, angle: 3.03612, w: 0.00393538 }

[14:24:36.796] { id: 7, vel: { 0.000232667, 0.000107273}, pos: { -0.354333, 0.488104}, angle: 3.03618, w: 0.00377891 }

[14:24:36.806] { id: 7, vel: { 0.000232667, 0.000107273}, pos: { -0.354333, 0.488104}, angle: 3.03618, w: 0.00377891 }

[14:24:36.816] { id: 7, vel: { 0.000229902, 0.000168937}, pos: { -0.35433, 0.488116}, angle: 3.03626, w: 0.00404882 }

[14:24:36.826] { id: 7, vel: { 0.000163033, 0.000162949}, pos: { -0.354337, 0.488117}, angle: 3.03622, w: 0.00274868 }

[14:24:36.836] { id: 7, vel: { 0.000163033, 0.000162949}, pos: { -0.354337, 0.488117}, angle: 3.03622, w: 0.00274868 }

[14:24:36.846] { id: 7, vel: { 3.27728e-05, 0.000109961}, pos: { -0.354355, 0.488112}, angle: 3.03616, w: 0.00149687 }

[14:24:36.856] { id: 7, vel: { 3.12119e-05, 3.72182e-05}, pos: { -0.354355, 0.488102}, angle: 3.03591, w: -0.00187086 }

[14:24:36.866] { id: 7, vel: { 3.12119e-05, 3.72182e-05}, pos: { -0.354355, 0.488102}, angle: 3.03591, w: -0.00187086 }

[14:24:36.876] { id: 7, vel: { -7.46453e-05, 8.41831e-05}, pos: { -0.354371, 0.48811}, angle: 3.03571, w: -0.00394462 }

